Location,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage (kmpl),Power (bhp),Seats,year_diff_from_2021
Mumbai,11.184435286790631,CNG,Manual,First,26.6,4.080245637842599,5.0,2.4849066497880004
Pune,10.62135173563291,Diesel,Manual,First,19.67,4.845760650906022,5.0,1.9459101490553132
Chennai,10.736418414365376,Petrol,Manual,First,18.2,4.49647076906475,5.0,2.3978952727983707
Chennai,11.373674891823535,Diesel,Manual,First,20.77,4.497139441774387,7.0,2.302585092994046
Coimbatore,10.613270586747499,Diesel,Automatic,Second,15.2,4.954417614098027,5.0,2.1972245773362196
Hyderabad,11.225256725762893,LPG,Manual,First,21.1,4.028916756899646,5.0,2.302585092994046
Jaipur,11.37366339763672,Diesel,Manual,First,23.08,4.160444363926624,5.0,2.1972245773362196
Mumbai,10.491301994830229,Diesel,Automatic,First,11.36,5.150397236471415,8.0,1.791759469228055
Pune,11.073350162732405,Diesel,Manual,First,20.54,4.650143551630823,5.0,2.1972245773362196
Chennai,11.09639435387813,Diesel,Manual,Second,22.3,4.31748811353631,5.0,2.302585092994046
Kochi,10.153973860242045,Petrol,Manual,First,21.56,4.646791860678911,5.0,1.3862943611198906
Kolkata,11.002116507732017,Petrol,Automatic,First,16.8,4.76473475565943,5.0,2.302585092994046
Jaipur,11.073257035520566,Diesel,Manual,First,25.2,4.31748811353631,5.0,1.9459101490553132
Delhi,11.184435286790631,Diesel,Automatic,First,12.7,5.240158452374504,5.0,2.0794415416798357
Delhi,11.608244735642321,Diesel,Manual,First,13.5,5.173660761948481,7.0,2.0794415416798357
Kochi,10.984461869350051,Diesel,Manual,First,25.8,4.601162164590552,5.0,1.791759469228055
Jaipur,10.12667110305036,Diesel,Manual,First,28.4,4.31748811353631,5.0,1.6094379124341003
Kochi,11.257646043625948,Diesel,Manual,First,20.45,4.440295542797857,5.0,2.0794415416798357
Bangalore,11.270866642542865,Diesel,Automatic,First,14.84,5.12764766249453,5.0,2.0794415416798357
Kochi,10.403747556197336,Diesel,Automatic,First,22.69,5.25227342804663,5.0,2.0794415416798357
Bangalore,10.922208510961449,Diesel,Manual,Second,23.65,4.4942386252808095,5.0,1.9459101490553132
Mumbai,10.932856938462077,Petrol,Automatic,First,13.53,5.181839728489342,5.0,1.9459101490553132
Kolkata,10.732214027337896,Petrol,Manual,First,18.5,4.394449154672439,5.0,2.4849066497880004
Kolkata,10.404293143019792,Petrol,Automatic,First,14.4,4.650143551630823,5.0,2.4849066497880004
Mumbai,10.857478611593109,Petrol,Manual,First,16.8,4.76473475565943,5.0,2.302585092994046
Hyderabad,10.896757843893464,Diesel,Manual,First,23.08,4.160444363926624,5.0,2.302585092994046
Hyderabad,10.896757843893464,Petrol,Manual,Second,20.92,4.220977213155467,5.0,2.1972245773362196
Kochi,10.53025451707913,Petrol,Manual,First,17.5,4.49647076906475,5.0,1.3862943611198906
Mumbai,12.476103599529843,Diesel,Manual,Fourth & Above,12.8,4.634728988229636,7.0,2.70805020110221
Bangalore,11.034905792929415,Diesel,Manual,First,19.01,4.695467823968872,5.0,2.1972245773362196
Delhi,11.38071890864812,Petrol,Manual,First,14.53,4.935193098929397,5.0,2.302585092994046
Bangalore,11.184435286790631,Diesel,Automatic,Second,11.18,5.220355825078324,7.0,2.1972245773362196
Kolkata,10.463131911491967,Diesel,Automatic,First,12.4,5.195730777772936,5.0,2.4849066497880004
Coimbatore,10.922912323307218,Petrol,Manual,Second,16.09,4.6491870714048655,5.0,2.0794415416798357
Jaipur,11.336391129857876,Petrol,Manual,Second,14.0,4.174387269895637,5.0,2.5649493574615367
Kochi,10.821297130379554,Diesel,Manual,First,24.3,4.4942386252808095,5.0,1.3862943611198906
Delhi,10.859018228147887,Petrol,Manual,First,18.15,4.418840607796598,5.0,1.6094379124341003
Pune,11.350418300109132,Diesel,Automatic,First,11.74,5.5443958891447425,5.0,2.1972245773362196
Chennai,11.034905792929415,Diesel,Manual,First,22.07,4.316153890523174,5.0,2.1972245773362196
Delhi,11.407576060361786,Petrol,Manual,Second,19.7,3.856510295497887,5.0,2.6390573296152584
Kochi,9.888323152016355,Petrol,Manual,First,25.4,3.6506582412937387,4.0,2.0794415416798357
Coimbatore,10.00034199390001,Diesel,Manual,First,25.32,4.356708826689592,6.0,1.6094379124341003
Kochi,10.476949890150093,Petrol,Manual,First,18.5,4.429625613473161,5.0,2.0794415416798357
Bangalore,10.744515799909736,Petrol,Automatic,First,14.62,5.01674989509611,5.0,2.0794415416798357
Mumbai,10.8590374583624,Petrol,Automatic,First,14.28,4.9346897371814515,5.0,1.791759469228055
Ahmedabad,10.968301732454014,Diesel,Manual,Second,14.9,4.729156165769083,5.0,2.6390573296152584
Bangalore,11.166271570741877,Petrol,Manual,First,11.25,5.104125637183595,7.0,2.302585092994046
Jaipur,11.225256725762893,Diesel,Manual,First,24.4,4.276666119016055,5.0,2.0794415416798357
Jaipur,11.235866764155578,Diesel,Manual,Second,16.55,4.663439094112067,6.0,2.302585092994046
Kochi,9.521421537856195,Diesel,Automatic,First,17.11,5.166669912482037,5.0,1.9459101490553132
Delhi,10.859018228147887,Diesel,Manual,First,22.9,4.31748811353631,5.0,2.0794415416798357
Kolkata,10.87806606028079,Diesel,Manual,First,17.8,4.330733340286331,5.0,2.0794415416798357
Delhi,11.092108111907391,Diesel,Manual,First,28.4,4.31748811353631,5.0,2.1972245773362196
Chennai,10.896757843893464,Petrol,Manual,Third,18.9,4.418840607796598,5.0,1.9459101490553132
Kolkata,10.571342565808699,Petrol,Manual,First,15.04,4.646312129319266,5.0,1.9459101490553132
Kochi,9.713718330607016,Petrol,Manual,First,25.17,3.9945242269398897,5.0,1.6094379124341003
Kolkata,10.373522431293592,Petrol,Manual,First,20.36,4.380775852772229,5.0,2.4849066497880004
Hyderabad,11.710242360910554,Diesel,Automatic,First,13.29,5.001258132283659,5.0,2.4849066497880004
Hyderabad,10.579005242826247,Petrol,Manual,First,18.2,4.220977213155467,5.0,2.4849066497880004
Mumbai,9.99884318585288,Diesel,Manual,First,13.68,5.002603122398992,8.0,1.6094379124341003
Bangalore,11.184435286790631,Diesel,Manual,First,20.0,4.23410650459726,5.0,2.4849066497880004
Delhi,10.968215530759236,Petrol,Automatic,First,11.74,5.231108616854587,5.0,1.9459101490553132
Pune,11.082157933374816,Diesel,Manual,Second,15.8,5.14166355650266,5.0,2.3978952727983707
Chennai,12.08954444723597,Diesel,Manual,First,25.0,4.248495242049359,5.0,1.791759469228055
Jaipur,11.09232133801926,Diesel,Automatic,First,16.55,4.948759890378168,5.0,2.302585092994046
Mumbai,11.050905878263567,Petrol,Automatic,Second,16.4,4.3694478524670215,5.0,2.70805020110221
Pune,11.050905878263567,Diesel,Manual,First,24.52,4.4942386252808095,7.0,1.791759469228055
Mumbai,9.472781556562168,Diesel,Manual,First,22.1,4.49647076906475,5.0,1.3862943611198906
Mumbai,11.19822841866684,Petrol,Automatic,First,8.5,6.2166061010848646,5.0,2.6390573296152584
Mumbai,10.928273880563582,Diesel,Manual,First,15.1,4.948759890378168,7.0,1.9459101490553132
Kochi,10.718387656089568,Petrol,Automatic,First,16.95,4.380775852772229,5.0,2.302585092994046
Kochi,10.934302683138412,Diesel,Manual,First,19.64,4.695924549256556,5.0,1.9459101490553132
Coimbatore,10.526775414924009,Petrol,Automatic,Second,16.5,4.475061500641071,5.0,1.791759469228055
Delhi,10.933124826700707,Diesel,Automatic,Second,18.53,5.240370406593187,5.0,2.0794415416798357
Jaipur,11.618293980596055,Diesel,Manual,First,17.8,4.23410650459726,5.0,2.6390573296152584
Chennai,12.345838935721968,Petrol,Manual,Third,12.4,4.890349128221754,8.0,2.772588722239781
Hyderabad,11.552155793461898,Diesel,Manual,First,12.8,4.634728988229636,7.0,2.302585092994046
Jaipur,11.462694763725304,Diesel,Manual,First,22.9,4.31748811353631,5.0,2.302585092994046
Pune,11.156264806643742,Petrol,Manual,First,17.57,4.49647076906475,5.0,1.6094379124341003
Kochi,10.914087963881025,Petrol,Manual,First,18.0,4.473921899378137,5.0,1.791759469228055
Hyderabad,11.161067472299884,Diesel,Manual,First,20.0,4.23410650459726,5.0,2.302585092994046
Jaipur,11.509308933195687,Diesel,Manual,First,23.2,4.316687793365541,5.0,2.1972245773362196
Delhi,10.859018228147887,Petrol,Manual,First,17.8,4.773223770984341,5.0,2.5649493574615367
Delhi,11.225256725762893,Diesel,Automatic,Second,16.73,5.389071729816501,5.0,2.3978952727983707
Pune,11.47190553419522,Petrol,Manual,First,20.36,4.380775852772229,5.0,2.5649493574615367
Bangalore,9.680406499268875,Petrol,Manual,First,18.9,4.418840607796598,5.0,1.791759469228055
Hyderabad,11.208382035443035,Petrol,Manual,First,17.0,4.144720769547168,5.0,2.70805020110221
Mumbai,9.849559210510572,Petrol,Manual,First,17.8,4.473921899378137,5.0,1.791759469228055
Delhi,11.580593459194764,Diesel,Manual,First,13.0,5.1328529268205045,7.0,2.0794415416798357
Coimbatore,10.786593717019239,Diesel,Automatic,First,17.68,5.166669912482037,5.0,1.3862943611198906
Delhi,10.950824090522445,Diesel,Manual,First,22.7,4.5090997172373575,5.0,2.1972245773362196
Delhi,10.968215530759236,Diesel,Manual,First,15.1,4.948759890378168,7.0,2.0794415416798357
Kolkata,10.308985993422082,Diesel,Manual,First,25.8,4.601162164590552,5.0,1.9459101490553132
Kolkata,10.440360967783612,Diesel,Manual,First,22.07,4.316153890523174,5.0,2.1972245773362196
Ahmedabad,11.156293377256013,Diesel,Manual,First,16.2,4.709530201312334,5.0,2.4849066497880004
Bangalore,11.034905792929415,Petrol,Manual,First,18.9,4.220977213155467,5.0,1.791759469228055
Delhi,11.034921921571465,Petrol,Manual,First,15.26,4.6491870714048655,5.0,2.4849066497880004
Pune,11.276684009386841,Diesel,Manual,Second,23.0,4.51085950651685,5.0,2.3978952727983707
Mumbai,10.31496786629908,Petrol,Manual,First,18.5,4.429029488269218,5.0,2.0794415416798357
Pune,10.399767904860083,Petrol,Manual,First,19.83,4.219507705176107,7.0,1.6094379124341003
Kolkata,10.308985993422082,Diesel,Automatic,First,14.94,5.490589254195159,5.0,2.4849066497880004
Pune,11.097425172408931,Petrol,Manual,Second,17.0,4.394449154672439,5.0,2.5649493574615367
Coimbatore,11.4494636972589,Petrol,Manual,First,14.0,3.58351893845611,5.0,2.4849066497880004
Ahmedabad,10.87806606028079,Petrol,Manual,First,17.71,4.380775852772229,5.0,2.0794415416798357
Hyderabad,11.264476926102367,Diesel,Automatic,Second,14.74,5.605434351638425,5.0,2.3978952727983707
Delhi,11.082157933374816,Diesel,Manual,Second,16.0,4.948759890378168,7.0,2.302585092994046
Kolkata,10.596659732783579,Diesel,Automatic,First,22.32,4.846703602413892,5.0,2.0794415416798357
Mumbai,10.308985993422082,Diesel,Automatic,First,11.36,5.150397236471415,7.0,1.6094379124341003
Coimbatore,10.546761482600346,Petrol,Manual,First,15.1,4.30406509320417,5.0,1.6094379124341003
Bangalore,10.146472946063877,Petrol,Manual,First,25.4,3.6506582412937387,4.0,2.0794415416798357
Mumbai,10.934677164886804,Diesel,Automatic,First,22.69,5.25227342804663,5.0,1.9459101490553132
Delhi,11.171687892148547,Petrol,Manual,First,13.5,4.875197323201151,5.0,2.4849066497880004
Ahmedabad,10.915106645867503,Diesel,Manual,First,12.99,4.6210435351443815,7.0,2.0794415416798357
Bangalore,10.39516093745751,Diesel,Automatic,First,23.3,5.017279836814924,5.0,2.0794415416798357
Coimbatore,10.593705446923497,Petrol,Automatic,First,19.15,4.343025897324149,5.0,1.791759469228055
Mumbai,11.759793355371237,Petrol,Automatic,First,10.8,5.375278407684165,5.0,2.5649493574615367
Mumbai,10.915106645867503,Diesel,Manual,First,24.3,4.4942386252808095,5.0,1.791759469228055
Mumbai,11.532737896139919,Petrol,Manual,Second,17.0,4.144720769547168,5.0,2.833213344056216
Pune,10.892173361825634,Diesel,Automatic,Second,15.0,4.684905154006945,5.0,2.0794415416798357
Kolkata,9.235130540783402,Diesel,Manual,First,22.0,4.845760650906022,5.0,1.3862943611198906
Pune,10.689099960768168,Petrol,Manual,First,18.9,4.220977213155467,5.0,2.3978952727983707
Coimbatore,10.39467153604683,Petrol,Automatic,First,21.9,3.6501386257975055,4.0,1.6094379124341003
Kolkata,10.645448706505872,Diesel,Manual,First,12.05,4.795790545596741,8.0,2.0794415416798357
Kolkata,10.252488123663166,Petrol,Automatic,First,11.7,5.187385805840755,5.0,2.5649493574615367
Pune,11.40646434386837,CNG,Manual,First,26.6,4.080245637842599,5.0,2.1972245773362196
Bangalore,10.77270764101727,Petrol,Manual,Second,10.8,5.030437921392435,5.0,2.70805020110221
Pune,10.915106645867503,Diesel,Automatic,First,21.21,4.646312129319266,5.0,1.9459101490553132
Kochi,10.698423878998108,Petrol,Manual,First,20.73,4.522874943261261,5.0,1.6094379124341003
Jaipur,10.896757843893464,Diesel,Automatic,First,16.0,4.948759890378168,7.0,1.791759469228055
Coimbatore,10.316689322016014,Petrol,Manual,First,21.1,4.463606621666305,5.0,1.791759469228055
Hyderabad,11.390769130367211,Petrol,Manual,First,24.07,4.220977213155467,5.0,2.0794415416798357
Kolkata,9.500993027872797,Petrol,Automatic,First,19.0,5.894595653139661,2.0,1.6094379124341003
Kochi,9.445096238618559,Petrol,Automatic,First,17.0,4.8064770426931265,5.0,1.0986122886681098
Chennai,11.45514803605056,Petrol,Manual,Second,19.7,3.856510295497887,5.0,2.4849066497880004
Coimbatore,10.367913153467802,Diesel,Automatic,First,20.58,4.969813299576001,5.0,1.9459101490553132
Mumbai,9.392745258631441,Petrol,Automatic,First,19.0,4.49647076906475,5.0,1.9459101490553132
Delhi,11.391650088183392,Petrol,Manual,First,13.5,4.875197323201151,5.0,2.302585092994046
Kochi,10.713661927620947,Diesel,Automatic,First,19.27,5.14166355650266,5.0,2.0794415416798357
Kolkata,10.71541726908554,Diesel,Manual,First,25.8,4.601162164590552,5.0,2.0794415416798357
Kochi,10.440127111195098,Petrol,Manual,First,22.0,4.416428061391214,5.0,1.791759469228055
Kochi,11.299237072426774,Petrol,Manual,Third,17.0,4.144720769547168,5.0,2.6390573296152584
Coimbatore,11.421204835016438,Diesel,Manual,First,11.5,5.147494476813453,7.0,2.302585092994046
Pune,10.566201298475118,Petrol,Manual,First,18.6,4.354141431184346,5.0,2.0794415416798357
Chennai,11.326607934898927,Diesel,Manual,First,21.14,4.649378440652412,5.0,2.1972245773362196
Kochi,10.628230294685824,Petrol,Manual,First,20.73,4.522874943261261,5.0,1.3862943611198906
Mumbai,10.043292972227004,Petrol,Automatic,First,11.05,6.09807428216624,4.0,2.1972245773362196
Mumbai,10.778977123006351,Diesel,Automatic,First,21.76,5.25227342804663,5.0,2.0794415416798357
Coimbatore,10.783425454944485,Diesel,Automatic,First,17.11,5.166669912482037,5.0,1.9459101490553132
Chennai,10.463131911491967,Diesel,Manual,First,22.9,4.31748811353631,5.0,1.791759469228055
Kolkata,10.471014819171423,Petrol,Automatic,First,7.81,5.896879104618114,5.0,2.4849066497880004
Coimbatore,10.908173703172075,Diesel,Automatic,First,21.66,4.649378440652412,5.0,1.791759469228055
Pune,11.827721606163557,Diesel,Automatic,First,17.2,4.935193098929397,5.0,2.302585092994046
Kochi,9.569621915779866,Petrol,Manual,First,21.1,4.028916756899646,5.0,1.0986122886681098
Jaipur,11.091864369237507,Diesel,Manual,First,22.07,4.316153890523174,5.0,2.302585092994046
Kolkata,8.699681400989514,Petrol,Manual,First,20.63,4.22038966907276,5.0,1.791759469228055
Kolkata,10.412741942560633,Petrol,Manual,First,19.4,4.475061500641071,5.0,2.1972245773362196
Delhi,10.275085591132715,Petrol,Automatic,First,14.8,4.801558999993482,5.0,2.1972245773362196
Kochi,10.665040765760134,Diesel,Manual,First,26.0,4.601162164590552,5.0,1.9459101490553132
Ahmedabad,11.407576060361786,Diesel,Manual,First,12.99,4.6210435351443815,7.0,1.791759469228055
Ahmedabad,10.08605907808529,Petrol,Manual,First,20.4,4.416428061391214,5.0,1.6094379124341003
Mumbai,10.397970356961945,Diesel,Manual,First,15.1,4.948759890378168,7.0,2.302585092994046
Kochi,11.904284887350814,Diesel,Manual,First,22.7,4.5090997172373575,5.0,2.0794415416798357
Mumbai,11.788782901155349,Diesel,Manual,First,13.0,5.1328529268205045,7.0,2.302585092994046
Chennai,11.082157933374816,Diesel,Automatic,First,21.5,4.695924549256556,5.0,2.1972245773362196
Jaipur,11.099287046172902,Diesel,Manual,Second,20.0,4.23410650459726,5.0,2.4849066497880004
Mumbai,10.62135173563291,Diesel,Automatic,First,15.3,5.556828061699537,5.0,1.9459101490553132
Coimbatore,10.066923561388053,Diesel,Automatic,First,19.27,5.12764766249453,5.0,1.6094379124341003
Bangalore,10.714439990727769,Petrol,Manual,Second,19.4,4.475061500641071,5.0,2.302585092994046
Delhi,11.002116507732017,Petrol,Manual,First,20.36,4.380775852772229,5.0,2.1972245773362196
Bangalore,10.701332529203802,Diesel,Automatic,First,17.9,5.14166355650266,5.0,1.791759469228055
Kolkata,6.90875477931522,Petrol,Manual,First,18.9,4.417152436649256,5.0,1.0986122886681098
Mumbai,11.042937835596494,Diesel,Automatic,Second,17.68,5.166669912482037,5.0,2.302585092994046
Mumbai,9.952325334619427,Petrol,Automatic,Second,14.4,4.650143551630823,5.0,2.1972245773362196
Jaipur,9.050875597325156,Diesel,Automatic,Second,16.6,4.727387818712341,5.0,1.6094379124341003
Bangalore,10.275085591132715,Diesel,Manual,First,22.54,4.496805161309966,5.0,2.0794415416798357
Mumbai,10.596659732783579,Diesel,Automatic,First,17.68,5.166669912482037,5.0,2.0794415416798357
Jaipur,11.385103457032141,Diesel,Manual,First,25.44,4.070734696582967,5.0,2.302585092994046
Kochi,10.888146961128207,Petrol,Automatic,First,13.7,5.067330637772801,5.0,2.302585092994046
Chennai,12.283038316285214,Diesel,Manual,Second,17.8,4.23410650459726,5.0,2.772588722239781
Hyderabad,10.839600519357369,Diesel,Automatic,First,22.48,5.25227342804663,5.0,2.0794415416798357
Jaipur,11.682676678340282,Petrol,Manual,First,12.9,4.639571612705423,5.0,2.70805020110221
Hyderabad,11.050905878263567,Diesel,Manual,First,22.07,4.316153890523174,5.0,2.302585092994046
Mumbai,10.12667110305036,Diesel,Manual,First,19.98,4.695924549256556,8.0,1.9459101490553132
Bangalore,10.528971334610977,Diesel,Automatic,First,13.0,5.308762624409575,5.0,2.0794415416798357
Kochi,10.117549995114146,Petrol,Manual,First,21.4,4.432006566978902,5.0,1.6094379124341003
Delhi,11.034905792929415,Diesel,Manual,First,22.32,4.846703602413892,5.0,2.302585092994046
Kochi,10.865535281748011,Petrol,Manual,First,19.81,4.234830879855301,5.0,1.6094379124341003
Kochi,10.946234708362843,Diesel,Manual,First,15.4,4.795790545596741,7.0,1.791759469228055
Coimbatore,10.493826513114392,Diesel,Automatic,First,12.7,5.240158452374504,5.0,1.3862943611198906
Chennai,11.695255355062795,Diesel,Manual,First,20.0,4.23410650459726,5.0,2.4849066497880004
Mumbai,10.404293143019792,Diesel,Manual,First,25.47,4.4942386252808095,7.0,1.791759469228055
Kolkata,10.859018228147887,Diesel,Manual,First,25.8,4.601162164590552,5.0,2.0794415416798357
Jaipur,10.682170021202337,Petrol,Manual,First,20.36,4.380775852772229,5.0,1.9459101490553132
Kolkata,10.819798284210286,Diesel,Manual,First,25.8,4.601162164590552,5.0,2.1972245773362196
Hyderabad,11.635151947212842,Diesel,Manual,First,17.5,4.672828834461906,5.0,2.6390573296152584
Delhi,11.407576060361786,Diesel,Manual,First,19.87,4.440295542797857,5.0,2.0794415416798357
Chennai,10.275085591132715,Diesel,Manual,Second,17.45,4.61512051684126,7.0,1.6094379124341003
Mumbai,9.90353755128617,Diesel,Manual,First,24.3,4.4942386252808095,5.0,1.791759469228055
Kochi,11.018842235203824,Petrol,Manual,First,18.6,4.416790314610172,5.0,1.791759469228055
Jaipur,11.378936824966912,Petrol,Manual,First,14.7,4.454347296253507,5.0,2.5649493574615367
Pune,11.163382173096926,Petrol,Manual,First,15.64,4.175924549214524,5.0,2.4849066497880004
Delhi,11.068262043457906,Diesel,Automatic,First,15.73,5.166669912482037,5.0,1.9459101490553132
Mumbai,11.23850177707664,Petrol,Automatic,First,14.7,5.184588601219693,5.0,2.0794415416798357
Delhi,11.552155793461898,Diesel,Manual,First,23.59,4.22038966907276,5.0,2.0794415416798357
Kolkata,10.645472515179373,Petrol,Manual,First,16.1,4.562680134367139,5.0,2.4849066497880004
Kochi,10.52529983549145,Petrol,Automatic,First,14.8,4.801558999993482,5.0,2.0794415416798357
Kolkata,10.714439990727769,Diesel,Manual,First,27.4,4.601162164590552,5.0,2.1972245773362196
Jaipur,11.677066078826835,Diesel,Manual,Second,22.32,4.846703602413892,5.0,2.302585092994046
Mumbai,10.308985993422082,Diesel,Manual,First,20.46,4.440295542797857,5.0,2.0794415416798357
Delhi,10.205737989163305,Petrol,Manual,Second,15.29,4.8064770426931265,5.0,1.9459101490553132
Mumbai,9.04793908261736,Petrol,Automatic,First,20.51,4.219507705176107,5.0,1.791759469228055
Kolkata,10.32551474894327,Petrol,Automatic,First,11.74,5.231108616854587,5.0,2.4849066497880004
Delhi,10.933124826700707,Diesel,Automatic,First,11.8,5.512218336495314,5.0,2.302585092994046
Pune,10.691967639914864,Petrol,Manual,Second,19.81,4.234830879855301,5.0,2.302585092994046
Mumbai,9.259225769705994,Petrol,Automatic,First,14.3,4.649378440652412,5.0,1.6094379124341003
Hyderabad,10.165890277802454,Petrol,Automatic,First,14.67,5.184364486472005,5.0,1.6094379124341003
Coimbatore,10.133288891514404,Petrol,Manual,First,17.19,4.417152436649256,5.0,1.3862943611198906
Kolkata,11.06665398721974,Diesel,Manual,Second,25.8,4.601162164590552,5.0,2.0794415416798357
Chennai,11.0186455364637,Petrol,Manual,Second,18.9,4.220977213155467,5.0,2.8903717578961645
Hyderabad,11.580593459194764,Diesel,Manual,First,21.03,4.189654742026425,5.0,2.1972245773362196
Coimbatore,10.28062177087623,Diesel,Automatic,First,19.27,5.12764766249453,5.0,1.3862943611198906
Kolkata,10.373522431293592,Petrol,Manual,First,22.5,4.220095767527661,5.0,2.1972245773362196
Coimbatore,10.74017214809227,Diesel,Manual,Second,19.01,4.695924549256556,5.0,1.9459101490553132
Delhi,10.757924157061597,Diesel,Manual,First,17.8,4.330733340286331,5.0,2.1972245773362196
Kochi,10.178388290623175,Petrol,Automatic,First,16.82,5.24744503617428,4.0,1.6094379124341003
Jaipur,12.206077645517674,Diesel,Manual,Second,17.2,3.9982007016691985,5.0,2.70805020110221
Kochi,11.015575304605662,Petrol,Manual,Second,18.6,4.354141431184346,5.0,1.791759469228055
Mumbai,10.714439990727769,Diesel,Manual,First,22.07,4.316153890523174,5.0,2.302585092994046
Hyderabad,11.06665398721974,Diesel,Manual,First,22.9,4.31748811353631,5.0,1.791759469228055
Kolkata,10.628254516851529,Diesel,Manual,First,20.0,4.234830879855301,5.0,2.302585092994046
Kochi,9.558600006313569,Diesel,Automatic,First,11.36,5.150397236471415,7.0,1.0986122886681098
Mumbai,11.112462823634855,Diesel,Automatic,Second,11.72,5.274536837882633,7.0,2.3978952727983707
Kolkata,10.391239003331517,Petrol,Manual,First,17.4,4.773223770984341,5.0,2.3978952727983707
Kochi,9.613202094214232,Petrol,Manual,First,18.6,4.416790314610172,5.0,1.3862943611198906
Kochi,10.93276762643258,Diesel,Automatic,First,19.27,5.12764766249453,5.0,1.9459101490553132
Mumbai,11.211833885608513,Diesel,Manual,First,25.44,4.070734696582967,5.0,2.1972245773362196
Kochi,10.948136318260808,Diesel,Manual,First,22.54,4.496805161309966,5.0,1.9459101490553132
Coimbatore,11.706640205593626,Diesel,Manual,First,12.99,4.6210435351443815,7.0,1.9459101490553132
Chennai,10.859018228147887,Diesel,Manual,First,20.77,4.497139441774387,7.0,2.1972245773362196
Mumbai,11.678448377988165,Diesel,Manual,First,12.8,4.634728988229636,7.0,2.0794415416798357
Mumbai,11.184435286790631,Petrol,Manual,Third,17.0,4.144720769547168,5.0,2.70805020110221
Kochi,10.431642158423893,Petrol,Manual,First,17.8,4.773223770984341,5.0,1.791759469228055
Ahmedabad,11.314511110943016,Diesel,Automatic,First,17.05,5.220355825078324,5.0,2.0794415416798357
Mumbai,10.404293143019792,Diesel,Manual,First,24.0,4.2626798770413155,5.0,1.6094379124341003
Chennai,10.434145214930487,Diesel,Manual,First,28.09,4.4942386252808095,5.0,1.791759469228055
Kolkata,10.915106645867503,Diesel,Manual,First,20.5,4.650143551630823,5.0,2.302585092994046
Kochi,11.986292182688965,Diesel,Manual,First,13.1,4.418840607796598,5.0,2.772588722239781
Jaipur,11.002116507732017,Diesel,Manual,Second,19.91,4.650143551630823,5.0,2.0794415416798357
Coimbatore,10.811262124641944,Petrol,Manual,First,18.7,4.49647076906475,5.0,1.6094379124341003
Jaipur,11.326607934898927,Petrol,Manual,First,19.81,4.234830879855301,5.0,2.4849066497880004
Kochi,10.84636179105997,Diesel,Automatic,First,16.38,5.214935757608986,5.0,1.3862943611198906
Pune,10.668978650219241,Diesel,Manual,First,13.68,5.002603122398992,7.0,1.6094379124341003
Jaipur,10.463131911491967,Petrol,Manual,Third,19.7,3.58351893845611,5.0,2.3978952727983707
Coimbatore,10.235413757309422,Petrol,Manual,Second,20.4,4.416428061391214,5.0,1.6094379124341003
